author;year;title;journal;pages;place;taxa;region;number
Geller-Grimm, F.;1996;Faunistische Bearbeitung der Raubfliegen Hessens (Diptera: Asilidae);Mitteilungen der Pollichia 83;243-282;Bad Dürkheim;;/Palae:/Germany/Hessen/Frankfurt/Wiesbaden/Darmstadt/Kassel/;2829
Geller-Grimm, F.;1997;A new species of Damalis Fabricius from Sri Lanka (Diptera, Asilidae);Studia dipterologica 4(1);197-200;Halle;Damalis n.sp./;/Orien:/Sri Lanka/;2830
Geller-Grimm, F.;1997;A new species of Ichneumolaphria Carrera from Brazil and the description of the male of Pseudorus dandrettae Carrera, 1949 (Diptera: Asilidae);Studia dipterologica 4(2);457-462;Halle;Ichneumolaphria n.sp./Pseudorus/;/Neotr:/Brazil/;2831
Geller-Grimm, F.;1997;A new species of Paraphamartania from Spain (Diptera: Asilidae);Stuttgarter Beiträge zur Naturkunde. Serie A (Biologie) 563;1-5;Stuttgart;Paraphamartania n.sp./Isopogonini/;/Palae:/Spain/;2832
Geller-Grimm, F.;1997;Raubfliegen (Diptera: Asilidae);Deutsche Gesellschaft für allgemeine und angewandte Entomologie, Nachrichten 11(1);32-33;Ulm;;;9872
Geller-Grimm, F.;1998;Notes on the biology of Dasypogon diadema (Fabricius, 1781) (Diptera: Asilidae);Mitteilungen des Internationalen Entomologischen Vereins  23(1/2);17-32;Frankfurt a.M.;Dasypogon/;/Palae:/Germany/Darmstadt/;9419
Geller-Grimm, F.;1998;Protoloewinella keilbachi Schumann, 1984 aus dem Baltischen Bernstein (Diptera: Asilidae);Studia dipterologica 5(1);84;Halle;Protoloewinella/;/Palae:/Europe/;2836
Geller-Grimm, F.;1999;Asilidae. - In: Schumann, H. & Bährmann, R. & Stark, A. (eds.): Checkliste der Dipteren Deutschlands;Studia dipterologica Supplement 2;88-90;Halle;;/Palae:/Germany/;2833
Geller-Grimm, F.;1999;Hessen. - In: Bährmann, R. (eds.): Zur Kenntnis der Dipterensammlungen Deutschlands;Beiträge zur Entomologie 49(1);186-189;Berlin;;/Palae:/Europe/Germany/Hessen/Wiesbaden/Darmstadt/Frankfurt/Kassel/;9874
Geller-Grimm, F.;1999;Raubfliegen-Typenmaterial des Senckenberg-Museums in Frankfurt am Main, das überwiegend von Wiedemann und Jaennicke bearbeitet wurde (Insecta, Diptera, Asilidae);Senckenbergiana biologica 78;205-217;Frankfurt a.M.;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/Germany/Frankfurt a.M./;2835
Geller-Grimm, F.;2000;Die Raubfliegen (Diptera: Asilidae) - eine interessante Insektenfamilie. [The robber flies (Diptera: Asilidae) - an interesting family of insects.];Natur und Museum 130(1);16-20;Frankfurt a.M.;;/Palae:/Europe/Germany/;10200
Geller-Grimm, F.;2001;Anpassungen von Raubfliegen (Asilidae) an den Lebensraum Düne [Robber flies and their adaptation to the life on sand dunes]. - In: SandAchse Franken: Forschung und Naturschutz in Sandlebensräumen, Tagungsband;Erlangen: Universität Erlangen;72-74;;;/Palae:/Europe/Germany/;10402
Geller-Grimm, F.;2002;Robber flies (Diptera: Asilidae) of the Socotra Archipelago, Yemen;Fauna of Arabia 19;467-489;Basel;Trichardis+Rhadinus+Tolmerus n.sp./Clinopogon/Microstylum/Leptogaster/Apoclea/Cerdistus/Nusa/Ommatius/Promachus/;/Palae:/Afror:/Orien:/Arabia/Yemen/;10439
Geller-Grimm, F.;2003;Dasypogon diadema (Fabricius, 1781) - Große Wolfsfliege;Nachrichten der Deutschen Gesellschaft für allgemeine und angewandte Entomologie e.V. 17(3);118 + cover;Bayreuth;Dasypogon/;/Palae:/Europe/Germany/;10643
Geller-Grimm, F.;2003;Photographic atlas and identification key to the robber flies of Germany (Diptera: Asilidae) - Fotoatlas und Bestimmungsschlüssel der Raubfliegen Deutschland (Diptera: Asilidae);Halle (Saale): Ampyx publishing house (ISBN 3-932795-18-0);CD-ROM;;;/Palae:/Europe/Germany/Belgium/Denmark/United Kingdom/The Netherlands/Sweden/;10693
Geller-Grimm, F.;2004;A world catalogue of the genera of the family Asilidae (Diptera);Studia dipterologica 10(2) (2003);473-526;Halle;Epholkiolaphria/;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;10721
Geller-Grimm, F.;2005;A new species of the genus Molobratia Hull, 1958 from South Korea (Diptera: Asilidae);Studia dipterologica 11(2) [2004];581-584;Halle;Molobratia n.sp./;/Palae:/Korea/;10830
Geller-Grimm, F. & Dikow, T. & Niehuis, M.;2003;Raubfliegen vom Roßstein bei Dörscheid (Mittelrheintal, Rheinland-Pfalz) nebst Anmerkungen zur Verbreitung in Rheinland-Pfalz (Diptera: Asilidae);Fauna und Flora in Rheinland-Pfalz, Zeitschrift für Naturschutz (GNOR) 10(1);85-98;Landau;;/Palae:/Germany/Rheinland-Pfalz/Rhine/;10651
Geller-Grimm, F. & Geisthardt, M.;1996;The courtship behavior of Promachus latitarsatus (Diptera: Asilidae);Mitteilungen des Internationalen Entomologischen Vereins  21(1/2);21-24;Frankfurt a.M.;Promachus/;/Palae:/Canary Islands/;2839
Geller-Grimm, F. & Hauser, M. & Schmid-Egger, C.;1997;Hinweise für Entomologen;bembiX 8;7-12;Karlsruhe;;;2840
Geller-Grimm, F. & Hradský, M.;1998;A new species of Eremonotus from Morocco, with some remarks about the subfamily Apocleinae in the Palaearctic region (Diptera, Asilidae);Studia dipterologica 5(1);61-66;Halle;Eremonotus s.sp./Apocleinae/;/Palae:/North Africa/Morocco/Tunisia/;9281
Geller-Grimm, F. & Hradský, M.;1999;Die Gattung Crobilcocerus Loew, 1847 (Diptera, Asilidae);Entomologische Zeitschrift 109(3);119-123;Stuttgart;Crobilocerus/n.sp./;/Palae:/Asia/Turkey/Lebanon/Iran/;9256
Geller-Grimm, F. & Hradský, M.;2003;The genus Oligopogon Loew, 1847 (Diptera: Asilidae) in the Palaearctic region, including the description of new species;Studia dipterologica 10(1);165-179;Halle;Oligopogon n.sp./;/Palae:/Europe/Greece/Syria/Turkey/;10656
Gemignani, E.V.;1930;Las especies argentinas del genero Mallophora (Dipt.) y description de cuatro nuevas especies;Revista de la Sociedad entomologica Argentina 3;133-144;Buenos Aires;Mallophora n.sp./;/Neotr:/Argentina/;2842
Gemignani, E.V.;1931;El alotipo de Mallophora vegata E.Lynch Arribalzaga y description de una nueva especie;Revista de la Sociedad entomologica Argentina 3;265-266;Buenos Aires;Mallophora n.sp./;/Neotr:/Argentina/;2843
Gemignani, E.V.;1936;Una nueva especie del genero Tolmerolestes E.Lynch Arribalzaga (Diptera: Asilidae);Revista chilena de Historia natural pura y aplicada 39(1935);42-47;Santiago;Prolepsis(Tolmerolestes) n.sp./;/Neotr:/Argentina/;2844
Geoffroy, E.L.;1785;In: Fourcroy, A.F. de: Entomologia parsiensis, sive catalogus insectorum quae in agro parisiensi reperiuntur, secundum methodum. Geoffroyeanam in sectiones, genera and species distrubutus...;Paris;I: 1-231, II: 233-544 (459-466);;(Asilus)Laphria+Dioctria+Molobratia+Leptogaster+Asilus n.sp./;/Palae:/;9369
Georghiou, G.P.;1977;The insects and mites of Cyprus with emphasis on species of economic importance to agriculture, forestry, man and domestic animals;Kiphissia, Athens, Greece: Benaki Phytopathological Institute;347 pp. (85);;Diptera:Asilidae/;/Palae:/Europe/Greece/;10056
Germar, E.F.;1817;Reise nach Dalmatien und in das Gebiet von Ragusa I-II., Vol. 2;Leipzig;I: 1-12, II: 1-323 (291);;Dasypogon n.sp./;/Palae:/Europe/Yugoslavia/;9370
Germar, E.F.;1824;Fauna insectorum europae, Fasc. 9;Halae [=Halle];(23);;;/Palae:/Europe/;9372
Germar, E.F.;1842;Fauna insectorum europae. Hemiptera et Diptera, Fasc. 23;Halae [=Halle];1 + 25 pls.;;Diptera/Asilidae?/;/Palae:/Europe/;9371
Gerstäcker, C.E.A.;1862;Hr. W. Peters legte eine Mittheilung des Hrn. Dr. Gerstäecker über eine Sammlung von Raubfliegen (Dipt., Asil.) aus Griechenland vor, welche das zool. Museum neuerdings von Hrn. Dr. Krüper erworben hat;Monatsberichte der Königlichen Preuss. Akademie der Wissenschaften zu Berlin 1861;1010-1013;Berlin;Laphria+Stenopogon+Eutolmus+Machimus+Neoitamus+Neomochtherus n.sp./;/Palae:/Greece/;2857
Gerstäcker, C.E.A.;1871;Beitrag zur Insekten-Fauna von Zanzibar;Archiv für Naturgeschichte 37(1);345-363;Berlin - Leipzig;Promachus+Alcimus+Machimus+Dasythrix+Nusa n.sp./;/Afrot:/Tanzania/;2858
Gerstäcker, C.E.A.;1873;in: Decken,C.C.von der: Reisen in Ost-Afrika in 1859-61, Vol.3;Leipzig & Heidelberg: Winter;542 pp. (386-390);;Promachus+Alcimus+Machimus+Dasythrix n.sp./;/Afrot:/East Africa/;2859
Geyer, G.G.;1869;Adalékok Rozsnyó vidékének Faunájához és Florájához és lebtani toredéek (Contributions to the fauna and flora in the environs of Roznava);*Mag. orvos. term. 13(1868);239-249 *[Zitat beilegen];?;;/Palae:/Czech Republic/;2875
Ghahari, H. & Hayat, R. & Chao, V-m. & Ostovan, H.;2008;A contribution to the Dipteran Parasitoids and predators in Iranian cotton fields and surrounding grasslands;Munis Entomology & Zoology 3(2);699-706;Ankara;;/Palae:/Asia/Iran/;11195
Ghahari, H. & Hayat, R. & Lehr, P.A. & Lavigne, R. & Ostovan, H.;2007;Robber Flies (Diptera: Asilidae) of Iranian Rice Fields and Surrounding Grasslands;Linzer biologische Beiträge 39(2);919-928;Linz;;/Palae:/Asia/Iran/;11196
Ghahari, H. & Lavigne, R.J. & Geller-Grimm, F.;2007;Bibliography of Asilidae (Insecta: Diptera) 1996-2006;Far Eastern Entomologist 176;1-39;Vladivostok;;;11094
Ghahari, H. & Lehr, P.A., Lavigne, R.J. & Hayat, R. & Ostovan, H.;2007;New records of robber flies (Diptera, Asilidae) for the Iranian fauna with their prey records;Far Eastern Entomologist 179;1-9;Vladivostok;;/Palae:/Asia/Iran/;11140
Ghorpadé, K.;1998;A provisional, anecdotal appraisal of Diptera taxonomy in the Indian sub-continent;*Colemania. Insect Biosystematics 6;1-24;?;;/Orien:/India/;10832
Gibbs, D.;2002;Scarce Diptera found in 2001. - In: Dipterists Day Exhibits 2001;Dipterists Digest 9;19-21 (20);Sheffield;Choerades/;/Palae:/Europe/UK/;10499
Gibbs, D.;2002;Scarcer Diptera found in the Bristol Region in 1999, 2000 and 2001;Dipterists Digest 9;1-13 (5);Sheffield;Asilus crabroniformis/;/Palae:/Europe/UK/;10498
Gibson, A.;1911;The Entomological record for 1910;*41st Annual Report, Entomological Society of Ontario;116;?;;/Nearc:/Canada/Ontario/;10057
Gibson, A.;1912;The Entomological record, 1911;*42nd Annual Report, Entomological Society of Ontario;89-112 (103);?;;/Nearc:/Canada/Ontario/;10058
Gibson, A.;1913;The Entomological record, 1912;*43rd Annual Report, Entomological Society of Ontario;113-140;?;Stenopogon morosus/;/Nearc:/Canada/Ontario/;10059
Gibson, A.;1914;The Entomological record, 1913;*44th Annual Report, Entomological Society of Ontario;106-129 (121);?;Cyrtopogon dasylloides/Holopogon seniculus/;/Nearc:/Canada/Ontario/;10060
Gibson, A.;1915;The Entomological record, 1914;*45th Annual Report, Entomological Society of Ontario;123-150 (141);?;;/Nearc:/Canada/Ontario/;10061
Gibson, A.;1916;The Entomological record, 1915;*46th Annual Report, Entomological Society of Ontario;194-230 (212);?;;/Nearc:/Canada/Ontario/;10062
Gibson, A.;1917;The Entomological record, 1916;*47th Annual Report, Entomological Society of Ontario;137-171 (155);?;;/Nearc:/Canada/Ontario/;10063
Gibson, A.;1918;The Entomological record, 1917;*48th Annual Report, Entomological Society of Ontario;99-127 (118);?;;/Nearc:/Canada/Ontario/;10064
Gibson, A.;1919;The Entomological record, 1918;*49th Annual Report, Entomological Society of Ontario;97-123 (116);?;Asilus erythrocnemius/A. paropus/;/Nearc:/Canada/Ontario/;10065
Gibson, A. & Criddle, N.;1920;The Entomological record, 1919;*50th Annual Report, Entomological Society of Ontario;112-134 (125);?;;/Nearc:/Canada/Ontario/;10066
Gil Collado, J.;1932;Dipteros de Ibiza recogidos por D.José Giner;Boletin de la Real Sociedad espanola de Historia natural 32(5);273-283;Madrid;Machimus n.sp./Syrphidae/;/Palae:/Baleares/Mediterranean/Spain/;2884
Gilbert, P.;1977;A compendium of the biographical literature on deceased entomologists;London: British Museum (Natural History);455 pp.;;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;9416
Gillaspy, J. E. & Evans, H.E. & Lin., C.S.;1962;Observations on the behavior of digger wasp of the genus Stictiella (Hymenoptera: Sphecidae) with a partition of the genus;Annals of the Entomological Society of America 55;559-566 (565);Lanham;;/Nearc:/;10067
Gimmerthal, B.A.;1834;Observations de quelques nouvelles espèces de Diptères, accompagnées des recherches sur la métamorphose de quelques autes;*Bull. Soc. Imp. nat Moscou 7;98-121 + 2 pls. (112-113);Moscow;Laphria n.sp./;/Palae:/Russia/;9373
Gimmerthal, B.A.;1847;Erster Beitrag zu einer künftig zu bearbeitenden Dipterologie Russlands, IV. Beitrag;*Bull. Soc. Imp. nat Moscou 20(2);140-208 (158-162);Moscow;;/Palae:/Russia/;9375
Gimmerthal, B.A.;1847;Zwölf neue Dipteren beschrieben und Namens des Naturforschenden Vereins zu Riga als Beitrag zur Feier des 50jährigen Doctor-Jubiläums Sr. Excellenz des Herrn Dr. Gotthelf Fischer von Waldheim;*Nat. Forsch. Ver. 1848;1-12;Riga;Dioctria+Stenopogon(Dasypogon)+Saropogon(Dasypogon)+Asilis n.sp./;/Palae:/;9374
Giray, H.;1981;Türkiye Asilidae (Diptera) faunasina ait ilk liste;Türkiye Bitki Koruma Dergisi 5(3);171-183;Ankara;Amphisbetetus/;/Palae:/Turkey/;2896
Girschner, E.;1898;Raubgier einiger Dipteren I-II.;Illustrierte Zeitschrift für Entomologie 3;313-314, 328;Neudamm;Laphria flava/Coleoptera/Scarabaeidae/;/Palae:/Germany/;9509
Gmelin, J.F.;1790;Caroli a Linné, Systema naturae per regna tria naturae systematica proposita per classes, ordines, genera et species ...Thirteenth edition, Vol. 1, pt. 5;Leipzig;2225-3020 (2895-2901);;Asilus n.sp./;/Palae:/;9376
Godfrey, A.;1998;The Diptera of Moccas Park National Nature Reserve;Dipterists Digest 5 (2nd Ser.);44-48 (46);Sheffield;Choerades/;/Palae:/Europe/UK/;10908
Godfrey, A.;1999;A review of Diptera from exposed riverine sediments based on literature records;Dipterists Digest 6 (2nd Ser.);63-82 (68);Sheffield;Rhadiurgus/;/Palae:/Europe/UK/;10909
Goodman, N.;1877;On a striking instance of mimicry, with some notes on the phenomenon of protective resemblance;*Proceedings of the Cambridge Philosophical Society 3;25-30;?;Laphria/;;10068
Goodyear, K.G.;1969;Dysmachus trigonus (Meigen) (Diptera, Asilidae) as a predator of Ischnura elegans (Van der Linden) (Odonata, Coenagrionidae);The Entomologist 102;21;London;Odonata/Dysmachus/;/Palae:/;2993
Goot, V.S. van der;1961;Synonymy and occurrence in the Netherlands of some Dioctria species (Diptera, Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 21;25-27;Amsterdam;Dioctria hyalipennis+baumhaueri+flavipes/;/Palae:/Germany/Netherlands/;3002
Goot, V.S. van der;1969;Roof- en Blaaskopvliegentabel, tweede druk;*Jeugdbondsuitgeverij;*?;;Conopidae/;/Palae:/Netherlands/;3013
Goot, V.S. van der;1977;Roof- en Blaaskopvliegentabel, 4de druk;Utrecht: JBU;*?;;Conopidae/;/Palae:/Netherlands/;3015
Goot, V.S. van der;1979;Eieren leggend vrouwtje van Machimus atricapillus (Fallén) (Diptera, Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 39;50;Amsterdam;Tolmerus/;/Palae:/Netherlands/;3017
Goot, V.S. van der;1982;Roofvliegen;Natura: Maandblad der Koninklijke Nederlandsche Natuurhistorische Vereeniging 79(7);175-178;Amsterdam;Tolmerus/Choerades/;/Palae:/Netherlands/;3027
Goot, V.S. van der;1985;De Snavelvliegen (Rhagionidae), Roofvliegen (Asilidae) en aanverwante families van Nordwest-Europa;Wetenschappelijke Mededeling. Koninklijke Nederlandse Natuurhistorische Vereniging 171;1-66;Utrecht;Rhagionidae/Xylophagidae/Coenomyiidae/Therevidae/;/Palae:/Netherlands/;3030
Goot, V.S. van der & Aartsen, B. van;1981;De jachtgewoonten van een aantal roofvliegen in Nederland (Diptera: Asilidae);Entomologische Berichten. Nederlandse Entomologische Vereniging 41;97-101;Amsterdam;;/Palae:/Netherlands/;3033
Goslin, R.M.;1950;Some robber flies from Campbell Country, Tennessee;*Journal of the Tennessee Academy of Science 25(4);303-306;?;;/Nearc:/USA/Tennessee/;3038
Goslin, R.M.;1954;Robber flies collected at Fort Hill, Highland County, Ohio;*Museum Echoes (Ohio State Mus.) 27;22-23;Columbus;;/Nearc:/USA/Ohio/;3039
Goslin, R.M.;1958;Additional robber flies from Campbell Country, Tennessee;*Journal of the Tennessee Academy of Science 33(3);219;?;;/Nearc:/USA/Tennessee/;3040
Goudie, J.C.;1920;Notes on the Coleoptera of north-western Victoria. Part VIII.;*Victorian Naturalist 37;28-34;?;Coleoptera/;/Nearc:/;3043
Gourley, E.S.;1930;Preliminary host-list of the entomophagous insects in New Zealand;*Department of Science & Industr. Research Bulletin 22;1-13;?;Neoitamus/Saropogon/;/Austr:/New Zealand/;3048
Gowdey, C.G.;1926;Catalogus Insectorum Jamaicensis;*Jamaica Department of Agriculture, Entomology Bulletin 4(1/2);1-139 (77);?;;/Neotr:/Jamaica/;10069
Goyer, R.A. & Brown, D.W. & Chapin, J.B.;1983;Pradaceous arthropods found in soybean in Louisana;*Proceedings of the Louisana Academy of Sciences 46;29-33;?;Diogmites/;/Nearc:/USA/Oklahoma/;9561
Graeffe, E.;1906;Beiträge zur Insektenfauna von Tunis;Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 61;446-471 (469);Wien;Hymenoptera/Apoidae/Formicidae/Chrysidae/Heteroptera/Reduvidae/Coleoptera/Tenebrionidae u.a./;/Palae:/North Africa/Tunisia/;3054
Graham, A.R.;1965;A preliminary list of the natural enemies of Canadian agricultural pests;Canadian Department of Agricultural Research Institute Information Bulletin 4;179 pp. (33, 126);Ottawa;Asilus snowi/;/Nearc:/Canada/;9703
Grassi, G.B. & Parona, D.C.;1881;Animali che devono essere conosciuti dagli apicoltori [Predatory animals that are known from Apiculture];*L’Apicoltore 10;38-39;;;/Palae:/Italy/;9689
Grayson, A.;2002;Notes on Asilidae. Copulating pairs of Machimus atricapillus (Fallén, 1814);Larger Brachycera Recording Scheme Newsletter 21 [Bulletin of the Dipterists Forum 54];2;Deeping St James;Tolmerus/;/Palae:/Europe/UK/;10526
Grayson, A.;2002;The Yorkshire records of Asilus crabroniformis Linnaeus (Diptera: Asilidae);Larger Brachycera Recording Scheme Newsletter 20 [Bulletin of the Dipterists Forum 53];5-6;Deeping St James;Asilus crabroniformis/;/Palae:/Europe/UK/;10477
Grayson, A.;2004;Dioctria cothurnata Meigen, 1820 (Diptera: Asilidae) new to v.c. 65 (North West Yorkshire);Larger Brachycera Recording Scheme Newsletter 23 [Bulletin of the Dipterists Forum 57];2;Deeping St James;Dioctria/;/Palae:/Europe/UK/;10879
Greathead, D.J.;1963;A review of the insect enemies of Acridoidea (Orthoptera);Transactions of the Royal Entomological Society of London 114;437-517 (450-451, 474, 480);London;;;9651
Green, E.E.;1907;Mimicry in insects life, as exemplified by Ceylon insects;Spolia zeylanica. Bulletin of the National Museum of Cylon 5;87-94;Colombo;Hyperechia/;/Orien:/Ceylon/;3059
Green, E.E.;1925;Asilid mimicry in Ceylon;Proceedings of the Royal Entomological Society of London 1924;193;London;Hyperechia/;/Orien:/Ceylon/;3060
Green, T. & Mawdsley, T.;2002;A first record of the pied-winged robberfly Pamponerus germanicus (L.) (Diptera: Asilidae) from them Ainsdale dune system;Journal of the Lancashire & Cheshire Entomological Society 124-126;124-126;Northwich;Pamponerus/;/Palae:/Europe/United Kingdom/;11299
Greene, C.T.;1917;A contribution to the biology of North American Diptera;Proceedings of the Entomological Society of Washington 19;146-161 (149-152);Washington;Dasyllis/Syrphidae/;/Nearc:/;3063
Greene, G.M.;1911;Feldman collecting social;Entomological News 22;477-478;Vincentown;Laphria sericea/;/Nearc:/;10070
Greene, G.M.;1912;Feldman collecting social;Entomological News 23;141;Vincentown;Nusa fulvicauda/Lampria bicolor/;/Nearc:/;10071
Griffiths, G.C.D.;1994;Relationships among the major subgroups of Brachycera (Diptera): A critical review;The Canadian Entomologist 126;861-880;Ottawa;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3072
Griffiths, G.C.D.;1996;Review of papers on the male genitalia of Diptera by D.M.Wood and associates;Studia dipterologica 3(1);107-123;Halle (Saale);;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3073
Grimaldi, D. & Engel, M.;2005;Evolution of the Insects;Cambridge University Press;755 pp (492, 521-523);;Diptera/Insecta/Asilidae/;;10848
Grimaldi, D.A.;1990;Insects from the Santana Formation, Lower Cretaceous, of Brasil. Diptera;Bulletin of the American Museum of Natural History 195;164-183;New York;Araripogon axelrodi n.gen./;/Neotr:/Brazil/;3074
Grimaldi, D.A. & Cumming, J.;1999;Brachyceran Diptera in Cretaceous ambers and Mesozoic diversification of the Eremoneura;Bulletin of the American Museum of Natural History 239;124 pp. (30-31);New York;Stratiomyidae/;/Nearc:/USA/New Jersey/;10222
Grimaldi, D.A. & Nguyen, T. & Ketcham, R.;2000;Ultra-high-resolution X-ray computed tomography (UHR CT) and the study of fossils in amber. - In: Grimaldi, D.A. (ed.): Studies on fossils in amber, with particular reference to the Cretaceous of New Jersey;Leiden: Backhuys Publishers;498 pp. (77-91);;;/Nearc:/;10683
Grimaldi, D.A. & Willkommen, J.;2008;Diptera. In: Martill, D.M. & Bechly, G. & Loveridge, R.F.: The Crato fossil beds of Brazil - Window into an ancient world;New York: Cambridge University Press;625 pp. (369-387);;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;11203
Grootaert P. & De Bruyn, L. & De Meyer, M. (eds);1991;Catalogue of the Diptera of Belgium;Bruxelles: Studiedocumenten van het K.I.B.N Vol. 70;338 pp.;;;/Palae:/Europe/Belgium/;10562
Grover, I.;1935;A note on Dasyllis;Journal of entomology and zoology 27;50;Pomona;Dasyllis/Elateridae/;/Nearc:/;3086
Gruhl, K.;1924;Paarungsgewohnheiten der Dipteren;Zeitschrift für wissenschaftliche Zoologie 122;205-280;Leipzig;Lasiopogon cinctus/Choerades gilva/C. ignea/Syrphidae/;/Palae:/Europe/Germany/;3091
Gruhl, K.;1959;8. Dipterenstudien im Siebengebirge;Decheniana Beihefte 7;103-118 (105);Bonn;Syrphidae/;/Palae:/Germany/Nordrhein-Westfalen/;3092
Gruhl, K.;1961;11. Dipterenstudien im Siebengebirge (Teil 2);Decheniana Beihefte 9;37-67 (42);Bonn;Syrphidae/;/Palae:/Germany/Nordrhein-Westfalen/;3093
Grünberg, K.;1907;Zur Kenntnis der Asiliden-Gattung Hyperechia Schiner (Dipt.);Deutsche entomologische Zeitschrift 1907;515-524;Berlin;Hyperechia n.sp./Dasyllis/;/Orien:/Afrot:/;3087
Grzegorzek, A.;1873;Uebersicht der bis jetzt in der Sandezer Gegend West-Galiziens gesammelten Dipteren;Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 23;25-36;Wien;Diptera/Syrphidae/Stratiomyidae/Tabanidae/Asilidae/Bombyliidae/;/Palae:/;3099
Guérin-Méneville, F.E.;1830;Première division. Crustacés, arachnides et insects. - In: Duperrey, M.L.I. (ed.): Voyage autour du monde, exécuté par ordre du Roi, sur la corvette de sa majesté, La Coquille, pendant 1822-1825. Zoologie 2(2,1);Paris;319 pp., 22 pls. (286-302) [s.More];;;/Orien:/;3111
Gundermann, E.;1919;Verzeichnis Thüringer Dipteren;Internationale Entomologische Zeitschrift 12;195-202 (199);Guben;;/Palae:/Germany/Thüringen/;10277
Günther, K. & Hannemann, H.-J. & Hieke, F. & Königsmann, E. & Schumann, H.;1968;Urania Tierreich - Insekten;Leipzig;630 pp. (465-468);;Insecta/;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3107
Gusenleitner, F.;2003;Diptera-Typen am Biologiezentrum Linz (Stand 11.2003);Internet: http://www.biologiezentrum.at/biowww/de/sammlung/tlist/Diptera.pdf;;Linz;;/Palae:/Austria/;10777
Gwynne, D.T.;1978;Male territoriality in the bumblebee wolf, Philanthus bicinctus (Mickel) (Hymenoptera: Sphecidae): observations on the behaviour of individual BB;*Zeitschrift für Tierpsychologie 47;89-103;?;Proctacanthus/;;10881
Gwynne, D.T. & O`Neill, K.M.;1980;Territoriality in digger wasps results in sex biased predation on males (Hymenoptera: Sphecidae, Philanthus);Journal of the Kansas Entomological Society 53;220-224;Manhattan - Lawrence;Hymenoptera/Proctacanthus/Philanthus/;/Nearc:/;3142
Haan, J.H.H. de;1951;Laphria flava L. een `havik` onder de Insecten;Natuur-Historisch Maandblad 40;113-116;Zuid-Limburg;Laphria/;/Palae:/Germany/Eifel/;3146
Hackman, W. & Väisänen, R.;1982;Different classification systems in the Diptera;Annales Zoologici Fennici 19(3);209-219;Helsinki;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3154
Hackman, W. & Väisänen, R.;1985;The evolution and phylogenetic significance of costal chaetotaxy in the Diptera;Annales Zoologici Fennici 22(2);169-203;Helsinki;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3155
Haenni, J.-P. (ed);2005;Les mouches planches d`Eugène Séguy;Neuchatel: Muséum d`histoire naturelle;64 pp. (plts 7, 8);;;/Palae:/;11212
Haensch, G. & Haberkamp de Anton, G.;1976;Wörterbuch der Biologie (Germ-Engl-Fren-Span);München & Wien & Zürich: BLV;-;;Dictionary/Biologie/;;3159
Hagen, H.A.;1862;Bibliotheca Entomologica. Die Literatur über das ganze Gebiet der Entomologie bis zum Jahre 1862. 1. Band A-M;Leipzig: Wilhelm Engelmann;566 pp.;;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3168
Hagen, H.A.;1863;Bibliotheca Entomologica. Die Literatur über das ganze Gebiet der Entomologie bis zum Jahre 1862. 2. Band N-Z;Leipzig: Wilhelm Engelmann;512 pp.;;;/Nearc:/Neotr:/Austr:/Orien:/Afrot:/Palae:/;3169
Hagley, E.A.C.;1975;The arthropod fauna in unsprayed apple orchards in Ontario II.  Some predacious species;Proceedings of the Entomological Society of Ontario 105;28-40 (32);Guelph;Dioctria baumhaueri/;/Nearc:/Canada/Ontario/;10072
Hallett, H.M.;1945;Pamponerus germanicus L.(Dipt., Asilidae) in Wales;The Entomologist`s Monthly Magazine 81;119;London;Pamponerus/;/Palae:/UK/;3177
Hallock, H.C. & Parker, L.B.;1926;Supplement to Smith`s 1909 Diptera list;*New Jersey Dept. Agr., Bur. State Inspect., Circ. No. 102;20 pp (7-8);?;;/Nearc:/USA/New Jersey/;9777
Hamilton, J. & Yeates, D. & Hastings, A. & Colless, D. & McAlpine, D. & Bickel, D. Daniels, G. & Schneider, M. Cranston, P.  & Marshall, S.;2006;On The Fly - The Interactive Atlas and Key to Australian Fly Families;CD-ROM Australian Biological Resources Study/Centre for Biological Information Technology (CBIT), ISBN-10: 0-642-56845-6 ISBN-13: 978-0-642-56845-8;;Canberra;;/Austr:/;10989
Hamlyn-Harris, R.;1924;Mosquito Survey Report, 5;Australian hookworm campaign, April;?;Brisbane;Atomosia culicivora/;/Austr:/;9778
