author;year;title;journal;pages;place;taxa;region;number
Lindner, E. & Mannheims, B.;1956;Zur Verbreitung der Dipteren (Zweiflügler) in den Hochregionen der Alpen;Jahrbuch des Vereins zum Schutze der Alpenpflanzen 21;121-128;München;Diptera/Syrphidae/Asilidae/;/Palae:/Alps/;5066
Linnaeus, C.;1758;Systema naturae per regna tria naturae, Ed.10, Vol.1 [Reprint 1956 London];Stockholm;824 pp. (605-606);;Asilus n.gen./;/Palae:/;5090
Linnaeus, C.;1761;Fauna svetica sistens animalia sveciae regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes, Distributa per classes & ordines, genera & species, cum differentiis specierum, synonymis auctorum, nominibus incolarum, locis natalium,.. Ed.2;Stockholm;578 pp. (469-470);;;/Palae:/Sweden/;5091
Linnaeus, C.;1763;Amoenitates Academicae, seu dissertationes variae physicae, medicae, botanicae, antehac seorsim editae, nune collectae et auctae cum tabulis aeneis. Vol.6;Stockholm;486 pp.;;;/Palae:/Sweden/;5092
Linnaeus, C.;1767;Systema naturae per regna tria naturae, Ed.13, revised 1(2);Stockholm;533-1327 (1006-1009);;;/Palae:/;5093
Linskiy, V.G.;1973;Scarabaeids (Coleoptera, Scarabaeidae) that damage agricultural crops in south-eastern Kazakhstan and measures for their control (in russisch);Author`s Abstr. of thesis];*?;Alma-Ata;Coleoptera/Scarabaeidae/;/Palae:/Kazakh/;5097
Linsley, E.G.;1944;Prey of the robber fly Callinicus calcaneus Loew (Diptera: Asilidae);Pan-Pacific Entomologist 20;67-68;San Francisco;Callinicus/Hymenoptera/;/Nearc:/;5098
Linsley, E.G.;1958;The ecology of the solitary bees;Hilgardia. A Journal of Agricultural Science 27(19);543-599;Berkeley - Oakland;Hymenoptera/Apoidae/;/Nearc:/;5099
Linsley, E.G.;1960;Ethology of some bee- and wasp-killing robber fly of southeastern Arizona and western New Mexico;University of California Publications in Entomology 16;375-392;Berkeley - Los Angeles;;/Nearc:/Neotr:/;5100
Linsley, E.G.;1972;The robber fly Callinicus calcaneus (Loew) as a predator on Andrena omninigra Viereck;Pan-Pacific Entomologist 48;94-96;San Francisco;Callinicus/Hymenoptera/Andrena/;/Nearc:/;5101
Linsley, E.G. & Cazier, M.A.;1963;Attraction of insects to exudates of Verbesina encelioides and Iva ambrosiaefolia;Bulletin of the Southern California Academy of Science 62;109-129 (117);Los Angeles;Beameromyia macula/;/Nearc:/USA/California/;9802
Linsley, E.G. & MacSwain, J.W. & Raven, P.H.;1964;Comparative behavior of bees and Onagraceae III.  Oenothera bees of the Mojave Desert, California;*University of California, Publications in Entomology 33(2);59-98 (74);?;Lestomyia/Hymenoptera/;/Nearc:/USA/California/;9803
Linsley, E.G. & Usinger, R.L.;1966;Insects of the Galapagos Islands;Proceedings of the California Academy of Sciences 33;113-196 (166);San Francisco;Ommatius/;/Neotr:/Galapagos/;5102
